FY,agency_code,CFIS/ORG Code,employee_count
2024-2025,530,3885,63
2024-2025,531,3875,14
2024-2025,533,3340,466
2024-2025,534,540,98
2024-2025,535,3360,880
2024-2025,536,3760,76
2024-2025,538,3480,733
2024-2025,539,3840,5
2024-2025,541,3540,1513
2024-2025,542,3540,3721
2024-2025,543,3540,121
2024-2025,544,3540,105
2024-2025,548,3790,516
2024-2025,549,3790,6538
2024-2025,559,2660,1549
2024-2025,564,7730,6500
2024-2025,565,3600,2839
2024-2025,566,3600,415
2024-2025,567,3640,43
2024-2025,570,3825,10
2024-2025,573,8960,711
2024-2025,574,8965,166
2024-2025,575,8966,302
2024-2025,576,8955,627
2024-2025,577,8955,466
2024-2025,578,8955,212
2024-2025,580,4265,4659
2024-2025,581,4265,268
2024-2025,587,5349,1931
2024-2025,588,5254,12
2024-2025,589,5420,28
2024-2025,590,7503,57
2024-2025,592,1115,587
2024-2025,594,1110,6
2024-2025,595,2670,5
2024-2025,598,1110,14
2024-2025,600,1110,5
2024-2025,601,1110,25
2024-2025,602,1110,12
2024-2025,605,1110,58
2024-2025,606,1110,12
2024-2025,608,1110,19
2024-2025,609,1110,51
2024-2025,610,1110,452
2024-2025,612,1110,203
2024-2025,615,1110,95
2024-2025,616,1110,27
2024-2025,617,1110,49
2024-2025,618,1110,2
2024-2025,619,1110,27
2024-2025,620,1110,14
2024-2025,621,1110,41
2024-2025,622,1110,409
2024-2025,624,1110,79
2024-2025,625,1110,73
2024-2025,629,1110,172
2024-2025,630,1110,199
2024-2025,631,1110,12
2024-2025,632,1110,132
2024-2025,633,1110,65
2024-2025,634,1110,30
2024-2025,635,1110,38
2024-2025,636,1110,92
2024-2025,637,1110,69
2024-2025,638,1110,5
2024-2025,640,1110,30
2024-2025,641,1110,10
2024-2025,643,1110,13
2024-2025,644,1110,99
2024-2025,645,1111,22
2024-2025,646,1110,525
2024-2025,647,1110,15
2024-2025,673,3900,1875
2024-2025,674,5335,1254
2024-2025,675,5254,10
2024-2025,680,8660,1571
2024-2025,681,462,162
2024-2025,693,2245,201
2024-2025,695,502,971
2024-2025,696,2600,42
2024-2025,701,2660,311
2024-2025,702,2660,594
2024-2025,703,521,68
2024-2025,718,7760,293
2024-2025,719,7760,332
2024-2025,721,1045,6
2024-2025,722,3820,51
2024-2025,785,890,663
2024-2025,791,531,397
2024-2025,792,4100,73
2024-2025,796,4185,1
2024-2025,797,4170,268
2024-2025,799,530,132
2024-2025,800,5180,5794
2024-2025,802,4260,437
2024-2025,803,4260,777
2024-2025,805,4260,1777
2024-2025,806,4260,1070
2024-2025,808,4260,566
2024-2025,810,3960,1229
2024-2025,811,3980,133
2024-2025,812,555,94
2024-2025,813,5160,1981
2024-2025,814,3930,464
2024-2025,817,5175,608
2024-2025,820,950,210
2024-2025,822,981,4
2024-2025,823,984,16
2024-2025,824,957,4
2024-2025,830,8955,436
2024-2025,831,8955,65
2024-2025,835,3970,871
2024-2025,880,3940,2588
2024-2025,900,2660,1576
2024-2025,901,2660,497
2024-2025,902,2660,614
2024-2025,903,2660,1902
2024-2025,904,2660,2966
2024-2025,905,2660,983
2024-2025,906,2660,1451
2024-2025,907,2660,2631
2024-2025,908,2660,1707
2024-2025,909,2660,349
2024-2025,910,2660,965
2024-2025,911,2660,1241
2024-2025,912,2660,935
2024-2025,913,2660,1594
2024-2025,915,5365,1618
2024-2025,916,5254,8
2024-2025,917,5227,129
2024-2025,918,5420,18
2024-2025,919,5291,1137
2024-2025,920,5254,7
2024-2025,921,5420,22
2024-2025,927,2660,297
2024-2025,928,2660,222
2024-2025,929,2660,42
2024-2025,931,2660,37
2024-2025,932,2660,763
2024-2025,933,5420,18
2024-2025,934,5295,1323
2024-2025,935,5254,7
2024-2025,936,5292,1617
2024-2025,937,5254,8
2024-2025,963,5420,6
2024-2025,964,5420,9
2024-2025,966,5420,54
2024-2025,967,5420,10
2024-2025,968,5420,33
2024-2025,969,5420,14
2023-2024,006,8940,358
2023-2024,013,7300,62
2023-2024,014,8570,1486
2023-2024,016,4700,119
2023-2024,018,8570,451
2023-2024,022,2120,6
2023-2024,024,2100,494
2023-2024,025,5351,1659
2023-2024,026,5352,1351
2023-2024,027,5353,1601
2023-2024,028,5354,422
2023-2024,030,5357,1978
2023-2024,032,5254,6
2023-2024,033,5254,10
