FY,agency_code,CFIS/ORG Code,employee_count
2022-2023,906,2660,1285
2022-2023,907,2660,2700
2022-2023,908,2660,1679
2022-2023,909,2660,341
2022-2023,910,2660,847
2022-2023,911,2660,1184
2022-2023,912,2660,905
2022-2023,913,2660,1467
2022-2023,915,5365,1617
2022-2023,916,5254,7
2022-2023,917,5227,118
2022-2023,918,5420,15
2022-2023,919,5291,1106
2022-2023,920,5254,5
2022-2023,921,5420,25
2022-2023,927,2660,266
2022-2023,928,2660,213
2022-2023,929,2660,31
2022-2023,931,2660,26
2022-2023,932,2660,734
2022-2023,933,5420,11
2022-2023,934,5295,1186
2022-2023,935,5254,5
2022-2023,936,5292,1663
2022-2023,937,5254,7
2022-2023,963,5420,5
2022-2023,964,5420,6
2022-2023,966,5420,21
2022-2023,967,5420,11
2022-2023,968,5420,27
2022-2023,969,5420,6
2022-2023,970,5420,3
